year,month,region,county,branch_name,established_on,operational_cost,staff_bonuses,misc_expenses,waste_cost
2012,1,East of England,Bedfordshire,Bedfordshire store,2012,2785,232,7793,4729
2012,2,East of England,Bedfordshire,Bedfordshire store,2012,2058,260,3559,3539
2012,3,East of England,Bedfordshire,Bedfordshire store,2012,2222,319,7320,2809
2012,4,East of England,Bedfordshire,Bedfordshire store,2012,2324,271,3352,3704
2012,5,East of England,Bedfordshire,Bedfordshire store,2012,2489,263,5834,3872
2012,6,East of England,Bedfordshire,Bedfordshire store,2012,3296,204,4604,3109
2012,7,East of England,Bedfordshire,Bedfordshire store,2012,2663,367,9356,4370
2012,8,East of England,Bedfordshire,Bedfordshire store,2012,2526,283,3033,5017
2012,9,East of England,Bedfordshire,Bedfordshire store,2012,3337,299,8263,6195
2012,10,East of England,Bedfordshire,Bedfordshire store,2012,3180,233,3092,5268
2012,11,East of England,Bedfordshire,Bedfordshire store,2012,2576,377,6355,3913
2012,12,East of England,Bedfordshire,Bedfordshire store,2012,2035,279,3724,2681
2013,1,East of England,Bedfordshire,Bedfordshire store,2012,2198,348,8011,3871
2013,2,East of England,Bedfordshire,Bedfordshire store,2012,2185,221,8759,4841
2013,3,East of England,Bedfordshire,Bedfordshire store,2012,2829,283,5577,5943
2013,4,East of England,Bedfordshire,Bedfordshire store,2012,2412,342,9464,2025
2013,5,East of England,Bedfordshire,Bedfordshire store,2012,2879,204,4487,4505
2013,6,East of England,Bedfordshire,Bedfordshire store,2012,2952,353,8642,4235
2013,7,East of England,Bedfordshire,Bedfordshire store,2012,2930,290,3849,3667
2013,8,East of England,Bedfordshire,Bedfordshire store,2012,2003,358,3033,5082
2013,9,East of England,Bedfordshire,Bedfordshire store,2012,2268,309,3356,5605
2013,10,East of England,Bedfordshire,Bedfordshire store,2012,3030,387,4358,2506
2013,11,East of England,Bedfordshire,Bedfordshire store,2012,2521,360,6375,4026
2013,12,East of England,Bedfordshire,Bedfordshire store,2012,3368,276,6068,4393
2014,1,East of England,Bedfordshire,Bedfordshire store,2012,2447,375,3530,5756
2014,2,East of England,Bedfordshire,Bedfordshire store,2012,3176,207,6402,5220
2014,3,East of England,Bedfordshire,Bedfordshire store,2012,2167,379,7209,5045
2014,4,East of England,Bedfordshire,Bedfordshire store,2012,3435,301,5322,5959
2014,5,East of England,Bedfordshire,Bedfordshire store,2012,3482,386,8750,4570
2014,6,East of England,Bedfordshire,Bedfordshire store,2012,3426,399,2870,5808
2014,7,East of England,Bedfordshire,Bedfordshire store,2012,3448,360,8944,2672
2014,8,East of England,Bedfordshire,Bedfordshire store,2012,3171,308,7344,3013
2014,9,East of England,Bedfordshire,Bedfordshire store,2012,2858,339,3071,2970
2014,10,East of England,Bedfordshire,Bedfordshire store,2012,3199,340,8397,5059
2014,11,East of England,Bedfordshire,Bedfordshire store,2012,2287,244,2447,5272
2014,12,East of England,Bedfordshire,Bedfordshire store,2012,3288,344,7441,2358
2015,1,East of England,Bedfordshire,Bedfordshire store,2012,3251,398,2105,3870
2015,2,East of England,Bedfordshire,Bedfordshire store,2012,2120,297,7147,5104
2015,3,East of England,Bedfordshire,Bedfordshire store,2012,3209,273,2549,5370
2015,4,East of England,Bedfordshire,Bedfordshire store,2012,2763,387,4661,3400
2015,5,East of England,Bedfordshire,Bedfordshire store,2012,2240,237,4220,6492
2015,6,East of England,Bedfordshire,Bedfordshire store,2012,2114,221,6629,3317
2015,7,East of England,Bedfordshire,Bedfordshire store,2012,2526,231,3102,5969
2015,8,East of England,Bedfordshire,Bedfordshire store,2012,2832,349,9462,5043
2015,9,East of England,Bedfordshire,Bedfordshire store,2012,2821,232,7755,4019
2015,10,East of England,Bedfordshire,Bedfordshire store,2012,3115,243,8056,5893
2015,11,East of England,Bedfordshire,Bedfordshire store,2012,2200,329,3027,5044
2015,12,East of England,Bedfordshire,Bedfordshire store,2012,2788,292,5146,2017
2016,1,East of England,Bedfordshire,Bedfordshire store,2012,2333,272,7120,5463
2016,2,East of England,Bedfordshire,Bedfordshire store,2012,2737,289,7533,6230
2016,3,East of England,Bedfordshire,Bedfordshire store,2012,2162,212,3911,2239
2016,4,East of England,Bedfordshire,Bedfordshire store,2012,3439,296,6147,5986
2016,5,East of England,Bedfordshire,Bedfordshire store,2012,2732,336,7109,5324
2016,6,East of England,Bedfordshire,Bedfordshire store,2012,2303,399,3223,5480
2016,7,East of England,Bedfordshire,Bedfordshire store,2012,2317,238,2530,4497
2016,8,East of England,Bedfordshire,Bedfordshire store,2012,2895,235,7524,5369
2016,9,East of England,Bedfordshire,Bedfordshire store,2012,3011,396,9127,5845
2016,10,East of England,Bedfordshire,Bedfordshire store,2012,2120,209,5373,2622
2016,11,East of England,Bedfordshire,Bedfordshire store,2012,2762,237,3765,2245
2016,12,East of England,Bedfordshire,Bedfordshire store,2012,2379,383,3507,6485
2017,1,East of England,Bedfordshire,Bedfordshire store,2012,2100,332,2825,3054
2017,2,East of England,Bedfordshire,Bedfordshire store,2012,3258,395,3559,5322
2017,3,East of England,Bedfordshire,Bedfordshire store,2012,2669,336,8736,5015
2017,4,East of England,Bedfordshire,Bedfordshire store,2012,2237,234,4329,3424
2017,5,East of England,Bedfordshire,Bedfordshire store,2012,3374,345,7363,2759
2017,6,East of England,Bedfordshire,Bedfordshire store,2012,2999,326,2340,2012
2017,7,East of England,Bedfordshire,Bedfordshire store,2012,3131,292,7424,4701
2017,8,East of England,Bedfordshire,Bedfordshire store,2012,2350,391,9298,4392
2017,9,East of England,Bedfordshire,Bedfordshire store,2012,2350,297,7713,4345
2017,10,East of England,Bedfordshire,Bedfordshire store,2012,2654,265,4677,4472
2017,11,East of England,Bedfordshire,Bedfordshire store,2012,2223,217,8547,4108
2017,12,East of England,Bedfordshire,Bedfordshire store,2012,2938,242,2929,3137
2018,1,East of England,Bedfordshire,Bedfordshire store,2012,3001,357,4256,4887
2018,2,East of England,Bedfordshire,Bedfordshire store,2012,2713,291,7766,2843
2018,3,East of England,Bedfordshire,Bedfordshire store,2012,2228,345,4143,5896
2018,4,East of England,Bedfordshire,Bedfordshire store,2012,3458,213,5706,5257
2018,5,East of England,Bedfordshire,Bedfordshire store,2012,2613,335,9084,3656
2018,6,East of England,Bedfordshire,Bedfordshire store,2012,3077,348,5467,2120
2018,7,East of England,Bedfordshire,Bedfordshire store,2012,3427,241,2270,3453
2018,8,East of England,Bedfordshire,Bedfordshire store,2012,3019,305,3336,3648
2018,9,East of England,Bedfordshire,Bedfordshire store,2012,3039,356,6072,5440
2018,10,East of England,Bedfordshire,Bedfordshire store,2012,2883,309,8221,3479
2018,11,East of England,Bedfordshire,Bedfordshire store,2012,2080,220,6264,3930
2018,12,East of England,Bedfordshire,Bedfordshire store,2012,2553,278,5061,2271
2019,1,East of England,Bedfordshire,Bedfordshire store,2012,3261,309,5360,2693
2019,2,East of England,Bedfordshire,Bedfordshire store,2012,2325,229,8015,5105
2019,3,East of England,Bedfordshire,Bedfordshire store,2012,2950,352,3157,4088
2019,4,East of England,Bedfordshire,Bedfordshire store,2012,2496,235,3605,5216
2019,5,East of England,Bedfordshire,Bedfordshire store,2012,3067,387,4691,5202
2019,6,East of England,Bedfordshire,Bedfordshire store,2012,2957,258,8143,4592
2019,7,East of England,Bedfordshire,Bedfordshire store,2012,2621,347,2270,5053
2019,8,East of England,Bedfordshire,Bedfordshire store,2012,2742,279,7461,4039
2019,9,East of England,Bedfordshire,Bedfordshire store,2012,2226,248,5619,2393
2019,10,East of England,Bedfordshire,Bedfordshire store,2012,3362,385,7682,4102
2019,11,East of England,Bedfordshire,Bedfordshire store,2012,2530,299,6222,6298
2019,12,East of England,Bedfordshire,Bedfordshire store,2012,2208,296,7754,2213
2020,1,East of England,Bedfordshire,Bedfordshire store,2012,2927,234,4927,2602
2020,2,East of England,Bedfordshire,Bedfordshire store,2012,2012,318,2362,5407
2020,3,East of England,Bedfordshire,Bedfordshire store,2012,2598,393,5962,5646
2020,4,East of England,Bedfordshire,Bedfordshire store,2012,2688,399,8665,4154
2020,5,East of England,Bedfordshire,Bedfordshire store,2012,2461,395,5362,4107
2020,6,East of England,Bedfordshire,Bedfordshire store,2012,2266,295,4104,5382
2020,7,East of England,Bedfordshire,Bedfordshire store,2012,3279,367,7617,2844
2020,8,East of England,Bedfordshire,Bedfordshire store,2012,2859,295,5269,3804
2020,9,East of England,Bedfordshire,Bedfordshire store,2012,2287,215,6619,2147
2020,10,East of England,Bedfordshire,Bedfordshire store,2012,2480,357,5324,3315
2020,11,East of England,Bedfordshire,Bedfordshire store,2012,3204,302,7016,4023
2020,12,East of England,Bedfordshire,Bedfordshire store,2012,3244,233,2345,3152
2010,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2004,379,5295,5885
2010,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2209,340,2911,4064
2010,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2861,353,5209,2871
2010,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2060,289,3226,2611
2010,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2839,383,9324,3129
2010,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2231,276,7948,2831
2010,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2922,240,9118,2230
2010,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2299,350,5433,2638
2010,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2774,315,7634,3825
2010,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3246,362,6756,5457
2010,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2400,336,4423,3373
2010,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2063,363,3404,4081
